,Titles,Companies,Locations,Links,Ratings,Salaries,Descriptions,Urgent Hiring,time,date
0,Business Analyst,Mirum Digital Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7fedabcef27ecf16&fccid=30584d7fcc702043&vjs=3,None,"₹7,00,000 a year","Effective project management and multi-assignment handling skills.
Seasoned and diverse experience with business analysis.
May lead various ad hoc projects.",none,20:50:31,21-01-11
1,Business Analyst - Strategy Office,Avanse Financial Services Private Limited,None,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DBScxUsGKJbglgFW18obImVav_d76RXoH538NsDCU5vB0biVSJF-68kVfR4CpkN1MSL2-JGD70XgSh5XiB_t4fZ_30pXaKrGfEIo-ofgKGyTvojBcjeSFDEMksr6imUDFpX0be8OEkjmy32JUfWBJMibwVzYcN2fYWW1uhThIu4uQXP4Uie7K0xO_KX2L8a3BecL7xzK-9Fq0MHwTt-M_tmLanUgVLsL1oIaU2PrlqB-c8uDxEvpFZq0ZdeE54302wkdCr9yJT07o5z6myk2cneY09x81Urig4TZFsw8qjtwPWKDPHyGYK4j0UqfsfWiUCZ-dbXmcpJahF4lh6CqY4CMxIUhfmSNlDIjW3uwbPQjluBf899GBBqueykbIUzLDo-rsa1YQ325rcmzHdqJGt_AJhv98fSxVu_l8D-PyXyfweSSeL2szL0GLEjmCmh1rfB7WrSPYigirCv-zgWxicp6zpToljWx-0tALsS9RCU2KBon3HdQOZ&p=1&fvj=1&vjs=3,None,None,"As a business analyst, you will be a leading contributor in the implementation of various projects in Data Collections team.
Self-directed and detail-oriented.",none,20:50:31,21-01-11
2,Analyst - Business Consulting Risk - TMT - Risk Assurance -...,Ernst & Young,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=8d97437977fb020f&fccid=1544766d4c2915b0&vjs=3,4.0,None,"Business analyst: 2 years (Preferred).
Translate business needs into requirement documents.
Interact directly with our internal users to gather requirements and…",none,20:50:31,21-01-11
3,Newgen Software Technologies - Business Analyst,Newgen Software Technologies,"Mumbai, Maharashtra",https://in.indeed.com/company/Newgen-Software-Technologies/jobs/-c2f5936bca9e994a?fccid=51ced1d299e17acc&vjs=3,3.5,None,"Understanding the use cases and process details and coming up with business solutions.
Understand the client process and associated data to help the project…",none,20:50:32,21-01-11
4,Business Analyst,Datamatics,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=2dd3f14eee66e617&fccid=ae827edc39fda956&vjs=3,3.5,None,"This structure encourages legal teams and businesses and staff areas to discuss legal, regulatory and business developments effectively and in a timely manner.",none,20:50:32,21-01-11
5,Business Analyst – Calypso,PRIFFY,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=d37549ed63b4a60a&fccid=b9fe1b8ceb4baa7f&vjs=3,None,None,"Liaise with multiple stakeholders to drive projects to improve control and efficiency of the system Responsible for analyzing, structuring and solving select…",none,20:50:32,21-01-11
6,SR. BUSINESS ANALYST : SBA,C2L Biz,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=f08c06c151d631e8&fccid=ea7c9ea4eb24b5b3&vjs=3,None,None,"Evaluate alternative solutions to business problems and select preferred solution & justify the selections.
Work with business and IT staff to enable thorough…",none,20:50:33,21-01-11
7,Business Analyst,Angel broking,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=87fd316bad6ab4a1&fccid=f6e4f733fd239093&vjs=3,3.8,None,"Strive to provide the best solution to the clients, even if that means foregoing proﬁts.
High business impact: You value integrity and derive great personal joy…",none,20:50:33,21-01-11
8,Business Analyst,Ishatva Management Solutions,"Mumbai, Maharashtra",https://in.indeed.com/company/Ishatva-Management-Solutions/jobs/Business-Analyst-1f9e57aa14f775c7?fccid=700da7b77b1a7efc&vjs=3,None,"₹5,00,000 - ₹6,00,000 a year","What will you do (Job Description)?
Play the pivotal role of understanding and gathering project requirements and help the technology team to understand and…",none,20:50:33,21-01-11
9,Business Analyst,Galentic Technologies Private Limited,"Mumbai, Maharashtra",https://in.indeed.com/company/Galentic-Technology-pvt-ltd/jobs/Business-Analyst-9294e49cb15c4e29?fccid=24b90d98bcb768c9&vjs=3,None,None,Review work done by sub-ordinates (if any) and provide qualitative inputs before submission of deliverables to seniors/client (as the case may be).,none,20:50:33,21-01-11
