,Titles,Companies,Locations,Links,Ratings,Salaries,Descriptions,Urgent Hiring,time,date
0,Business Analyst,Mirum Digital Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7fedabcef27ecf16&fccid=30584d7fcc702043&vjs=3,None,"₹7,00,000 a year","Responsibilities
Person will be responsible for documenting client requirements and also creating a business blueprint document which will be shared with client and project stakeholders
Person with experience on Salesforce Marketing Cloud will be an advantage.
Will need to understand technical solutions and document used cases. Will be required to build a deep understanding of the SFMC solution -End - to - end implementation will include requirement gathering / discovery workshop in order to understand the exact requirement from the client
Will need to interact with project stakeholders – client and internal stakeholder effectively
Should be able to create project Blue print and maintain the same across clients
Should be able to work across projects

Desired Skills and Experience
Should have good written and verbal English communication skills
Should be good team player
Deep knowledge of Salesforce Marketing Cloud and channels (preferable)
Ability to deliver complex assignments within challenging timelines",none,17:50:33,21-01-11
1,Business Analyst - Strategy Office,Avanse Financial Services Private Limited,None,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DBScxUsGKJbglgFW18obImVav_d76RXoH538NsDCU5vB0biVSJF-68kVfR4CpkN1MSL2-JGD70XgSh5XiB_t4fZ_30pXaKrGfEIo-ofgKGyTvojBcjeSFDEMksr6imUDFpX0be8OEkjmy32JUfWBJMibwVzYcN2fYWW1uhThIu4uQXP4Uie7K0t0ZJIkc4b0LvuMAI8k8ejOSnA8Cxe-pxfpOKHm0tLjoXQwuWWIGcXoeOdB8Z0WhUdh4y_tORdkvzpPbIOJchYAQQPeOvA6n-AqzSR18ayzUpSmK9kGKOUbrbXhTX5ykH9Wxdej2JvhfVGQvkq5cL6gcTqEhI39RE7g2-ypcBsrf2P_Yhjmk2UGMyOdYk3U0nngRhvO8Q8OjUbJ3p6qOCcnZQbAlZubRiH7eYZ417Vpxc_VX7ZiXZMpsKMzvbwnnMV2qBwB1OxvRGNqDSTDvyQwQr6NIw40G9ZLUS9fz7l7gFC2CJPeD07pKIXjjnFJ98&p=1&fvj=1&vjs=3,None,None,"Job Description
Play CEO’s office Business Partner role to help business leaders deliver strategy implementation charters through dedicated support and ownership. The incumbent will be required to multi-task, conceptualize effective strategies, help create feasibility reports and execute new projects
Roles & Responsibilities
Responsibilities :
Assist the CEO with inputs and data required for making strategic decisions and coordinate the strategy planning exercise
Business data analysis and market benchmarking -Maintain ongoing analysis of competitive landscape and industry trends. Develop strategic recommendations using intelligence to achieve and sustain market leadership
Assist in preparation of board / investor presentations and business plan, business reports including tracking, monitoring and following up on open action items
Drafting the agenda and producing accurate and timely Board minutes at each meeting
Eligibility
Experience :
2 – 3 yrs of experience post qualification in a similar role
NBFC/Banking experience preferred
Technical Skills required:
Proficient in MS Office Suite
Data Analysis and inference development
Personal Attributes:
Excellent written & oral communication skills A motivated self-starter with strong interpersonal skills
Strong presentation skills
Should have good sense of time management, planning & organizing, judgement and analysis
Ability to perform under stringent deadlines
Multitasking abilities
Should possess eye for details
Formal Qualification :
CA/ MBA from top tier institutes
Job Type: Full-time
Schedule:
Day shift
Experience:
business analysis: 3 years (Required)
total work: 2 years (Preferred)
Education:
Master's (Preferred)",none,17:50:33,21-01-11
2,Business Analyst,Datamatics,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=2dd3f14eee66e617&fccid=ae827edc39fda956&vjs=3,3.5,None,"Job Code :
MRF/IT-5805/2020
Experience :
4.00 - 6.00 Yrs
Qualification :
B.E
Mandatory Skills :
Business Analyst
Job Description :

Must have hands-on experience of Trade Finance domain.
Should have well versed understanding of different Trade Finance products, and must be aware of field level technicalities related to different products.
Should have good understanding of different documents involved in Trades.
Must have worked with some bank (preferably Axis) in trade finance.
Should be able to work on MS Office (Excel and Word).
Should be able to work under extreme pressure of deliverable and can face client.",none,17:50:33,21-01-11
3,Analyst - Business Consulting Risk - TMT - Risk Assurance -...,Ernst & Young,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=8d97437977fb020f&fccid=1544766d4c2915b0&vjs=3,4.0,None,"About EY
As a global leader in assurance, tax, transaction and advisory services, we hire and develop the most passionate people in their field to help build a better working world. This starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. So that whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.


Analyst – Risk - Internal Audit

The opportunity

The objective of our advisory risk services is to provide clients with a candid and reliable overview of their risk landscape. Our solutions can be used by our clients to build confidence and trust with their customers, the overall market and when required by regulation or contract. You will be responsible for executing client related engagements in the areas of governance, risk & compliance (GRC), internal audits, process reviews, standard operating procedures, enterprise risk management, revenue assurance and other Business Risk Services related solutions.

Your key responsibilities
Execution on client engagement – Ensure quality delivery as per client requirements.
Continuously strive towards exceeding client & team expectations and work on increasingly complex assignments.
Conduct research and prepare client presentations, information memorandums and thought leadership documents.
Contribute to advisory engagements in the capacity of a team member - deliver quality output within assigned timelines.
Attend L&D programs and exhibit through knowledge of advisory methodology and consulting attributes.
Keep abreast with developments in business related areas and assist team leaders/managers in preparing client decks.
Sector focus (basic understanding of the industry, trends, issues/challenges & key players) based on the industry group alignment.
Exhibit initiative and participate in corporate social and team events. Understand business & industry issues / trends. Identify areas requiring improvement in the client's business processes to enable preparation of recommendations.
Ensure compliance with engagement plans and internal quality & risk management procedures.
Develop strong working relationships with client (process owner/functional heads).

Skills and attributes for success
Determine that the work delivered is of high quality.
Anticipate and identify engagement related risks and escalate issues as appropriate.
Assist team members, Seniors and Managers in developing new methodologies and internal initiatives.

To qualify for the role you must have
A Bachelor’s degree in Commerce, Management, Accounting, Finance or Economics and other graduation streams or a related discipline
We would expect for you to be available to travel outside of their assigned office location at least 50% of the time.
Ideally, you’ll also have
Good communication skills

What we look for

We’re looking for passionate leaders with strong vision and a desire to stay on top of trends in the risk industry. If you have a genuine passion for helping businesses achieve their full potential, this role is for you.
What working at EY offers
EY is committed to being an inclusive employer and we are happy to consider flexible working arrangements. We strive to achieve the right balance for our people, enabling us to deliver excellent client service whilst allowing you to build your career without sacrificing your personal priorities. While our client-facing professionals can be required to travel regularly, and at times be based at client sites, our flexible working arrangements can help you to achieve a lifestyle balance.",none,17:50:34,21-01-11
4,Newgen Software Technologies - Business Analyst,Newgen Software Technologies,"Mumbai, Maharashtra",https://in.indeed.com/company/Newgen-Software-Technologies/jobs/-c2f5936bca9e994a?fccid=51ced1d299e17acc&vjs=3,3.5,None,"Designation:
Business System Analyst
Job Location:
Delhi/NCR or Mumbai
You will be responsible for implementation of Newgen Products & Solutions & customer engagements.
The broad responsibilities include:
 Post-Sales Engagement Management with the clients along with the role of Business & System Analyst.
 Documenting high level and detailed requirements using elicitation techniques such as scenarios (use cases) / prototyping.
 Producing a project definition/project initiation document clearly defining scope and project objective.
 Interpreting and construct basic tables in database related with Queue / External Variables.
 Executing a user acceptance / system test script & awareness about project risks, issues, assumptions and dependencies & change control processes especially in relation to requirements documentation.
 Resolving complex requirement conflicts through effective stakeholder engagement.
 Effectively presenting options and recommendations to stakeholders.
Profile Requirements:
 You should be a B.E/B. Tech/Bsc/BCA and MBA from a reputed institute, with 1 to 3 years of experience as system analyst for software products like ERP, CRM, BPM, ECM. You must have:
 You should have 60% or more throughout your academic profile.
 Understanding of the software product market dynamics and software development processes.
 Possess excellent relationship, communication and customer relationship management skills.
 Exhibit strong leadership qualities through quick decision-making and change management & strong analytical ability.
 Good experience in Ms-Office and documentation skills.
 Willingness to travel for Short term/Long term within India/Outside India and work as per project requirements.
Experience:
1 - 3 years
Job Type: Full-time
Schedule:
Day shift
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)",none,17:50:34,21-01-11
5,Business Analyst,Angel broking,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=87fd316bad6ab4a1&fccid=f6e4f733fd239093&vjs=3,3.8,None,"Group Company: Angel Broking Limited
Designation: Business Analyst (ABL_EB_253), Business Analyst (ABL_EB_35)
Position description:
Define specifications and business requirements for web, desktop & mobile applications from internal & external stakeholders. Create User stories/Acceptance criteria.
Work with all the stakeholders to understand the pain areas and needs. Identify opportunities to address pain points and provide seamless experience for end users.
Closely work with technology team and other stakeholders to communicate the requirements and develop features.
Create wireframes, partner with UI/UX designers to develop great designs and user experience.
Perform quality assurance; make sure the newly developed solutions are working as per the acceptance criteria.
Support production issues. Perform RCA and identify solutions for customer complaints and issues.
Constantly be on the lookout for ways to improve, discover issues and deliver highest value to the customer.
Research and come up with Innovative ideas to improve the application and customer experience.
Competition landscape tracking. Analyze leading market players and competitors to gain insights and implement innovative solutions to gain competitive advantage over other apps.
Primary Responsibilities:
Gather business requirement from internal & external stakeholders, translate into technical & functional specification & perform UAT.
Reporting Team
Reporting Designation: Senior Lead - Product Initiatives (ABL_EB_134)
Reporting Department: Digital Initiatives (2513_1)
Required Skills:
Strong written and verbal communication skills. Technical Writing.
Strong Analytical and technical skills. Should understand SQL, APIs, Application Development.
Strong knowledge of SDLC process. Experience in working in Agile/Scrum setup.
Knowledge of JIRA & Confluence Tools will be an added advantage.",none,17:50:34,21-01-11
6,Business Analyst – Calypso,PRIFFY,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=d37549ed63b4a60a&fccid=b9fe1b8ceb4baa7f&vjs=3,None,None,"Role – Business Analyst – Calypso
Mode : Permanent
Location – Mumbai
Experience: 9 to 15 Years
Job Description
Good experience in Front, Middle & Back office.
Good experience in managing client, requirement gathering, GAP Analysis, testing.
Should have hands on experience in client management like resource on boarding, project planning etc.Job Description.
Open to work in 2nd Shift.

Job Features
Location
Mumbai

Experience
9 - 15 Years",none,17:50:34,21-01-11
7,Business Analyst Payments,Angel broking,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=18444dd0887c86a1&fccid=f6e4f733fd239093&vjs=3,3.8,None,"Group Company: Angel Broking Limited
Designation: Specialist Business Analyst - Payments (ABL_SS_538)
Position description:
Lead and implement Payment (Net-banking, UPI, Debit/Credit cards, Wallets) related changes, enhancements and innovative solutions.
Define specifications and business requirements for web, desktop & mobile applications. Create User stories/Acceptance criteria.
Work with all the stakeholders to understand the pain areas and needs. Identify opportunities to address pain points and provide seamless experience for end users.
Closely work with the technology team, vendor partners, aggregators, and other stakeholders to communicate the requirements and develop solutions.
Create wireframes, partner with UI/UX designers to develop great designs and user experience.
Perform quality assurance; make sure the newly developed solutions are working as per the acceptance criteria.
Support production issues. Perform RCA and identify solutions for customer complaints and issues.
Constantly be on the lookout for ways to improve, discover issues and deliver highest value to the customer.
Research and come up with Innovative ideas to improve the application and customer experience.
Competition landscape tracking. Analyze leading market players and competitors to gain insights and implement innovative solutions to gain competitive advantage over other apps.
Primary Responsibilities:
Work with all the stakeholders to understand the pain areas and new ideas. Identify opportunities to address issues and provide seamless experience for end users.
Reporting Team
Reporting Designation: Head - Mobile and Payment Platforms (ABL_SS_380)
Reporting Department: Product Development (2171)
Required Skills:
BE/B-Tech/MBA or relevant degrees, with 6-10 years of experience
Strong knowledge of Payments system (Netbanking, UPI, Aggregators etc)
Strong knowledge of BFSI domain & Trading Platform (Capital Markets / Cash / F&O / Commodity / Currency / IPO / Mutual Funds / Insurance etc.)
Strong written and verbal communication skills. Technical Writing.
Knowledge of UPI / Netbanking / Debit cards / Credit Cards / Wallets / Payment Gateways Integration.
Strong Analytical and technical skills. Should understand SQL, APIs, Application Development.
Strong knowledge of SDLC process. Experience in working in Agile/Scrum setup.
Knowledge of JIRA & Confluence Tools will be an added advantage.
Knowledge of Payments operations systems is a plus point.",none,17:50:35,21-01-11
8,Specialist Business Analyst,Angel broking,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=2540fe86a4b5f69d&fccid=f6e4f733fd239093&vjs=3,3.8,None,"Group Company: Angel Broking Limited
Designation: Specialist - Business Analyst (ABL_SS_310)
Position description:
Define specifications and business requirements for web, desktop & mobile applications. Create User stories/Acceptance criteria.
Work with all the stakeholders to understand the pain areas and needs. Identify opportunities to address pain points and provide seamless experience for end users.
Closely work with the technology team and other stakeholders to communicate the requirements and develop features.
Create wireframes, partner with UI/UX designers to develop great designs and user experience.
Perform quality assurance; make sure the newly developed solutions are working as per the acceptance criteria.
Support production issues. Perform RCA and identify solutions for customer complaints and issues.
Constantly be on the lookout for ways to improve, discover issues and deliver highest value to the customer.
Research and come up with Innovative ideas to improve the application and customer experience.
Competition landscape tracking. Analyze leading market players and competitors to gain insights and implement innovative solutions to gain competitive advantage over other apps.
Primary Responsibilities:
Work with all the stakeholders to understand the pain areas and new ideas. Identify opportunities to address issues and provide seamless experience for end users.
Reporting Department: Product Development (2170)
Educational qualifications preferred Academic score:
Required Skills :
Strong knowledge of SDLC process. Experience in working in Waterfall/Agile/Scrum setup.
Strong written and verbal communication skills.
BFSI/Trading domain will be a plus point
Strong Analytical and technical skills. Should understand SQL, APIs, and Application Development.
Self-driven, passionate about building products and digital solutions, customer centricity.
Knowledge of JIRA, Confluence or similar project management tools
NCFM, Scrum Master, Product Owner related certifications (Good to have).",none,17:50:35,21-01-11
9,Sr. Analyst - Business Operations,Tata Communications,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=886b952b08677976&fccid=e53a1e83cfcd06ef&vjs=3,4.1,None,"Define operational/business processes, Manage new initiatives/opportunities that may involve coordination between the sales channel and other organizations, such as Marketing, Product Management, IT, etc. Review current tools and processes being used and identify opportunities for automation of the processes by implementing necessary tools with the help of technology. Manage and co-ordinate the overall operation of the BU to support large complex bids with customers. Drive the collection and analysis of operational data, conduct MIS and convert data into value for customers and Internal teams in the areas of Monitoring and Reporting, Sales enablement, Support to Product management, Maturity of decision support offerings etc. Provide reviews and financial/non-financial performance reporting to enable the business to achieve its long term objectives, Minimize costs of operations for business. Keep tab on benchmarks / budgets and work towards cost reduction. Maximize operational efficiency around processes by driving continuous process improvement initiatives. Identify and highlight the operational issues related to customers, vendors (external as well as internal) and ensuring resolution. Responsibilities may include, but are not limited to, the following: Sales process activities of the business segment- Billing, Orders, Agreements, Bilaterals, swaps, Market Management etc. ; Ensuring on-time customer delivery through accurate and detailed operating plans. Conduct operations management activities such as business planning, operational plans, project management, communications, etc. for defined business segment.
Broad outline of the Role
Responsible for administrating new initiatives and business processes/opportunities that may involve coordination between the sales channel and other organizations, such as Marketing,etc. Regularly participate in important projects or activities as a full contributing team member, is able to proactively identify important issues or risks, seeks the appropriate level of guidance and advice to ensure delivery of quality outcomes. Operational role which is responsible for delivering results that have direct impact on the achievement of results within Business Operations/ Commercial Operations. Works under direct supervision.Work efficiently and productively with broad instruction. Able to identify problems and provide inputs to improve, change or adapt existing methods and techniques drawing from personal experiences and feedback. Actively acquires more complex skills, techniques, operating practices, knowledge of abstract concepts in order to progress toward full proficiency in the field of specialisation.Has skills and knowledge that will allow them to adapt to effectively deal with unfamiliar issues, challenges, problems within their field of specialisation. Education: Graduate Experience: 0-4 years
Purpose - Broad objective of the role
Operating Network - Key External
Operating Network - Key Internal
Size and Scope of Role - Financial
Size and Scope of Role - No. of direct reports
Size and Scope of Role - Total team size
Size and Scope of Role - Other size parameters
Minimum qualification & experience
Other knowledge/skills
Key Responsibilities
Technical Competencies
Knowledge / Skills
Communication Skills",none,17:50:35,21-01-11
